bugID	tool	origin_rank_avg	new_rank_avg	totalCorrect	totalPatch
Chart_14	NPEFix	22.5	14.75	4	40
Math_5	Arja	10.5	9	2	16
Math_50	Arja	41.8	30.1	10	117
Math_53	Arja	5.428571429	3.571428571	7	9
Math_58	Arja	87.71428571	135	7	143
Math_70	Arja	78.33333333	9.333333333	3	100
Math_98	Arja	15.69230769	9.461538462	13	31
Math_50	GenProg	205.5853659	287.4390244	41	438
Math_70	GenProg	15	1	1	54
Math_50	RSRepair	28.03333333	21.7	30	58
Math_53	RSRepair	2	2	3	3
Math_70	RSRepair	2	1	1	2
Closure_126	Arja	515.3142077	31	732	1039
Closure_126	GenProg	73.33333333	39.66666667	3	409
Closure_126	RSRepair	13.85714286	11.14285714	7	23
Time_4	prapr	479	240	1	2561
Time_11	prapr	204	133	1	3591
Chart_1	prapr	312	195	1	3724
Chart_8	prapr	10	10	1	733
Chart_11	prapr	41.5	28.5	2	158
Chart_12	prapr	149	102	1	2245
Chart_20	prapr	39	42	1	240
Chart_24	prapr	66	66	1	133
Chart_26	prapr	1382	1237	1	12438
Lang_26	prapr	1214	293	1	1454
Lang_33	prapr	1	9	1	20
Lang_59	prapr	29	13	1	121
Math_5	prapr	2	206	1	423
Math_33	prapr	370	717	1	5243
Math_34	prapr	26	3	1	258
Math_50	prapr	118	118	1	1138
Math_58	prapr	523	388	1	7544
Math_59	prapr	2	2	1	2419
Math_75	prapr	71	25	1	709
Math_82	prapr	863	400	1	2680
Mockito_5	prapr	8	8	1	83
Closure_86	prapr	2.5	43.5	2	6642
Closure_10	prapr	2485	1812	1	34689
Closure_11	prapr	9351	8176.667	3	55640
Closure_31	prapr	15694	7462	1	31475
Closure_46	prapr	55	55	2	12644
Closure_62	prapr	89	589	1	634
Closure_73	prapr	199	207	1	9574
Closure_92	prapr	608	292	1	26586
Closure_126	prapr	83	53	2	32252
