org/mockito/internal/MockHandler	<init>	mockingProgress	41	0.069464544138929	 
org/mockito/internal/MockHandler	<init>	matchersBinder	42	0.069464544138929	 
org/mockito/internal/MockHandler	<init>	mockSettings	43	0.069464544138929	 
org/mockito/internal/creation/MethodInterceptorFilter	<init>	mockHandler	28	0.069464544138929	 
org/mockito/internal/creation/MethodInterceptorFilter	<init>	mockSettings	29	0.069464544138929	 
org/mockito/internal/stubbing/MockitoStubber	<init>	mockingProgress	29	0.069464544138929	 
org/mockito/internal/util/MockName	<init>	mockName	17	0.069464544138929	 
org/mockito/internal/creation/MockSettingsImpl	getSpiedInstance	this	50	0.06905278380332613	 
org/mockito/internal/MockitoCore	mock	this	33	0.06905278380332613	 
org/mockito/internal/MockitoCore	mock	classToMock	35	0.06905278380332613	 
org/mockito/internal/MockitoCore	mock	mockSettings	35	0.06905278380332613	 
org/mockito/internal/util/CreationValidator	validateType	classToMock	14	0.06905278380332613	 
org/mockito/internal/util/CreationValidator	validateExtraInterfaces	extraInterfaces	20	0.06864161849710981	 
org/mockito/internal/creation/MockSettingsImpl	getExtraInterfaces	this	46	0.06823104693140791	 
org/mockito/internal/progress/MockingProgressImpl	resetOngoingStubbing	this	47	0.06823104693140791	 
org/mockito/internal/util/CreationValidator	validateMockedType	classToMock	32	0.06786390313154328	 
org/mockito/internal/util/CreationValidator	validateMockedType	spiedInstance	32	0.06782106782106789	 
org/mockito/internal/creation/MockSettingsImpl	defaultAnswer	defaultAnswer	65	0.06700288184438041	 
org/mockito/internal/creation/MockSettingsImpl	defaultAnswer	this	65	0.06700288184438041	 
org/mockito/internal/creation/jmock/ClassImposterizer	imposterise	mockedType	49	0.06700288184438041	 
org/mockito/internal/creation/jmock/ClassImposterizer	imposterise	ancillaryTypes	50	0.06700288184438041	 
org/mockito/internal/creation/jmock/ClassImposterizer	imposterise	proxyClass	50	0.06700288184438041	 
org/mockito/internal/creation/jmock/ClassImposterizer	imposterise	interceptor	51	0.06700288184438041	 
org/mockito/internal/creation/jmock/ClassImposterizer	setConstructorsAccessible	mockedType	58	0.06700288184438041	 
org/mockito/internal/creation/jmock/ClassImposterizer	createProxyClass	mockedType	64	0.06700288184438041	 
org/mockito/internal/creation/jmock/ClassImposterizer	createProxy	this	111	0.06700288184438041	 
org/mockito/internal/creation/jmock/ClassImposterizer	createProxy	proxyClass	111	0.06700288184438041	 
org/mockito/internal/creation/jmock/ClassImposterizer	createProxy	proxy	111	0.06700288184438041	 
org/mockito/internal/creation/jmock/ClassImposterizer	createProxy	interceptor	112	0.06700288184438041	 
org/mockito/internal/creation/jmock/SearchingClassLoader	combineLoadersOf	classes	24	0.06700288184438041	 
org/mockito/internal/creation/jmock/SearchingClassLoader	combineLoadersOf	loaders	28	0.06700288184438041	 
org/mockito/internal/creation/jmock/SearchingClassLoader	combineLoadersOf	first	30	0.06700288184438041	 
org/mockito/internal/creation/jmock/SearchingClassLoader	combineLoadersOf	others	31	0.06700288184438041	 
org/mockito/internal/creation/jmock/SearchingClassLoader	combine	parentLoaders	53	0.06700288184438041	 
org/mockito/internal/creation/jmock/SearchingClassLoader	combine	loader	53	0.06700288184438041	 
org/mockito/internal/creation/jmock/SearchingClassLoader	combine	i	55	0.06700288184438041	 
org/mockito/internal/creation/jmock/SearchingClassLoader	addIfNewElement	loaders	63	0.06700288184438041	 
org/mockito/internal/invocation/Invocation	isVoid	this	174	0.06288852468107448	 
org/mockito/internal/util/MockUtil	<init>	creationValidator	27	0.061340941512125546	 
org/mockito/internal/invocation/Invocation	expandVarArgs	isVarArgs	57	0.057191545663540955	 
org/mockito/internal/MockHandler	handle	ongoingStubbing	82	0.05454356443203384	 
org/mockito/internal/MockHandler	handle	stubbedInvocation	85	0.05454356443203384	 
org/mockito/internal/debugging/DebuggingInfo	addPotentiallyUnstubbed	this	39	0.03428377460964027	 
org/mockito/internal/matchers/Equals	<init>	wanted	17	0.019471947194719452	 
org/mockito/internal/progress/MockingProgressImpl	getDebuggingInfo	this	107	0.016743269862114274	 
org/mockito/internal/stubbing/defaultanswers/GloballyConfiguredAnswer	answer	invocation	24	0.00938511326860847	 
org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues	returnValueFor	type	73	0.004163997437540035	 
org/mockito/internal/invocation/InvocationMatcher	getMatchers	this	47	0.00351887396033268	 
org/mockito/internal/creation/jmock/SerializableNoOp	<clinit>	this	11	0.0	 
org/mockito/MockitoAnnotations	initMocks	testClass	81	0.0	 
org/mockito/MockitoAnnotations	initMocks	clazz	85	0.0	 
org/mockito/MockitoAnnotations	scan	annotationEngine	93	0.0	 
org/mockito/MockitoAnnotations	scan	clazz	94	0.0	 
org/mockito/MockitoAnnotations	scan	fields	94	0.0	 
org/mockito/MockitoAnnotations	scan	field	95	0.0	 
org/mockito/MockitoAnnotations	scan	annotation	96	0.0	 
org/mockito/internal/creation/jmock/ClassImposterizer	<clinit>	this	21	0.0	 
org/mockito/internal/creation/jmock/ClassImposterizer	setConstructorsAccessible	constructor	58	0.0	 
org/mockito/internal/creation/jmock/ClassImposterizer	createProxyClass	this	85	0.0	 
org/mockito/internal/creation/jmock/SearchingClassLoader	combineLoadersOf	c	31	0.0	 
org/mockito/internal/progress/SequenceNumber	<clinit>	this	9	0.0	 
org/mockito/internal/progress/SequenceNumber	next	this	12	0.0	 
org/mockito/internal/progress/MockingProgressImpl	validateState	this	70	0.0	 
org/mockito/internal/progress/MockingProgressImpl	getArgumentMatcherStorage	this	103	0.0	 
org/mockito/internal/configuration/GlobalConfiguration	<clinit>	this	19	0.0	 
org/mockito/internal/configuration/GlobalConfiguration	getIt	this	23	0.0	 
org/mockito/internal/configuration/GlobalConfiguration	createConfig	defaultConfiguration	34	0.0	 
org/mockito/internal/configuration/GlobalConfiguration	createConfig	config	35	0.0	 
org/mockito/internal/configuration/GlobalConfiguration	getAnnotationEngine	this	52	0.0	 
org/mockito/internal/configuration/GlobalConfiguration	getDefaultAnswer	this	60	0.0	 
org/mockito/internal/creation/cglib/MockitoNamingPolicy	<clinit>	this	11	0.0	 
org/mockito/internal/invocation/Invocation	expandVarArgs	args	57	0.0	 
org/mockito/internal/invocation/Invocation	argumentsToMatchers	arg	139	0.0	 
org/mockito/Matchers	<clinit>	this	95	0.0	 
org/mockito/internal/configuration/ClassPathLoader	loadConfiguration	configClass	18	0.0	 
org/mockito/internal/progress/ArgumentMatcherStorageImpl	validateState	this	100	0.0	 
org/mockito/internal/util/Primitives	<clinit>	this	29	0.0	 
org/mockito/internal/progress/ThreadSafeMockingProgress	<clinit>	this	16	0.0	 
org/mockito/internal/progress/ThreadSafeMockingProgress	threadSafely	this	19	0.0	 
org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues	answer	invocation	58	0.0	 
org/mockito/internal/stubbing/MockitoStubber	<clinit>	this	18	0.0	 
org/mockito/internal/stubbing/MockitoStubber	findAnswerFor	s	62	0.0	 
org/mockito/Mockito	<clinit>	this	630	0.0	 
org/mockito/Mockito	withSettings	this	1566	0.0	 
