org/mockito/internal/configuration/injection/MockInjection	onFields	fields	48	0.03921971252566736	 
org/mockito/internal/configuration/injection/MockInjection	onFields	ofInstance	48	0.03921971252566736	 
org/mockito/internal/configuration/injection/filter/TypeBasedCandidateFilter	<init>	next	17	0.038998357963875185	 
org/mockito/internal/configuration/injection/filter/NameBasedCandidateFilter	<init>	next	19	0.038998357963875185	 
org/mockito/internal/configuration/injection/MockInjection$OngoingMockInjection	tryConstructorInjection	this	76	0.038998357963875185	 
org/mockito/internal/configuration/injection/MockInjection$OngoingMockInjection	tryPropertyOrFieldInjection	this	81	0.038998357963875185	 
org/mockito/internal/configuration/injection/MockInjectionStrategy	thenTry	this	41	0.03855619360131257	 
org/mockito/internal/configuration/injection/MockInjection$OngoingMockInjection	apply	this	91	0.03855619360131257	 
org/mockito/internal/configuration/injection/MockInjection$OngoingMockInjection	withMocks	this	71	0.038335383353833574	 
org/mockito/internal/configuration/injection/MockInjection$OngoingMockInjection	withMocks	mocks	71	0.038335383353833574	 
org/mockito/internal/util/Checks	checkItemsNotNull	iterable	21	0.03789430561245388	 
org/mockito/internal/util/Checks	checkItemsNotNull	checkedIterable	21	0.03789430561245388	 
org/mockito/internal/util/collections/HashCodeAndEqualsSafeSet	addAll	this	124	0.03789430561245388	 
org/mockito/internal/util/collections/HashCodeAndEqualsSafeSet	addAll	mocks	124	0.03789430561245388	 
org/mockito/internal/util/collections/HashCodeAndEqualsSafeSet	asWrappedMocks	mocks	132	0.03789430561245388	 
org/mockito/internal/util/collections/HashCodeAndEqualsSafeSet	asWrappedMocks	hashSet	133	0.03789430561245388	 
org/mockito/internal/util/collections/Sets	newMockSafeHashSet	mocks	20	0.03767403767403765	 
org/mockito/internal/util/collections/HashCodeAndEqualsSafeSet	access$000	x0	32	0.03767403767403765	 
org/mockito/internal/util/collections/HashCodeAndEqualsSafeSet	access$000	this	32	0.03767403767403765	 
org/mockito/internal/configuration/injection/MockInjection$OngoingMockInjection	<init>	fieldOwner	66	0.03767403767403765	 
org/mockito/internal/configuration/injection/MockInjection$OngoingMockInjection	<init>	fields	67	0.03767403767403765	 
org/mockito/internal/util/collections/HashCodeAndEqualsSafeSet	of	mocks	146	0.03657539844707802	 
org/mockito/internal/util/collections/HashCodeAndEqualsSafeSet	of	hashCodeAndEqualsSafeSet	150	0.03657539844707802	 
org/mockito/internal/util/collections/HashCodeAndEqualsSafeSet	of	objects	151	0.03657539844707802	 
org/mockito/internal/progress/MockingProgressImpl	validateState	this	71	0.03179424868367764	 
org/mockito/internal/util/Checks	checkNotNull	value	14	0.02986279257465696	 
org/mockito/internal/progress/ArgumentMatcherStorageImpl	validateState	this	112	0.019588444796201032	 
org/mockito/internal/progress/MockingProgressImpl	validateMostStuff	this	83	0.019588444796201032	 
org/mockito/internal/progress/MockingProgressImpl	getArgumentMatcherStorage	this	109	0.019588444796201032	 
org/mockito/internal/configuration/ClassPathLoader	loadConfiguration	configClass	68	0.01571091908876665	 
org/mockito/internal/configuration/GlobalConfiguration	createConfig	defaultConfiguration	37	0.01571091908876665	 
org/mockito/internal/configuration/GlobalConfiguration	createConfig	config	38	0.01571091908876665	 
org/mockito/internal/configuration/plugins/PluginRegistry	getMockMaker	this	33	0.015103962338171906	 
org/mockito/internal/util/collections/Iterables	toIterable	out	16	0.013291634089132143	 
org/mockito/internal/util/collections/Iterables	toIterable	in	17	0.013291634089132143	 
org/mockito/internal/configuration/plugins/PluginLoader	<init>	pluginSwitch	17	0.013291634089132143	 
org/mockito/internal/configuration/plugins/PluginLoader	loadPlugin	pluginType	24	0.013291634089132143	 
org/mockito/internal/configuration/plugins/PluginLoader	loadPlugin	plugin	24	0.013291634089132143	 
org/mockito/internal/configuration/plugins/PluginLoader	loadImpl	loader	46	0.013291634089132143	 
org/mockito/internal/configuration/plugins/PluginLoader	loadImpl	service	52	0.013291634089132143	 
org/mockito/internal/configuration/plugins/PluginLoader	loadImpl	resources	52	0.013291634089132143	 
org/mockito/internal/configuration/plugins/PluginLoader	loadImpl	this	58	0.013291634089132143	 
org/mockito/internal/configuration/plugins/PluginLoader	loadImpl	foundPluginClass	58	0.013291634089132143	 
org/mockito/internal/configuration/plugins/PluginFinder	<init>	pluginSwitch	15	0.013291634089132143	 
org/mockito/internal/configuration/plugins/PluginFinder	findPluginClass	resources	19	0.013291634089132143	 
org/mockito/internal/configuration/SpyAnnotationEngine	process	field	49	0.0	 
org/mockito/MockitoAnnotations	scanDeprecatedWay	field	114	0.0	 
org/mockito/MockitoAnnotations	processAnnotationDeprecatedWay	annotation	122	0.0	 
org/mockito/internal/util/Primitives	<clinit>	this	13	0.0	 
