Mockito/Mockito_1	[0, 127, 533, 572, 573]	0.20738691634282783	1.0
Mockito/Mockito_2	[0]	1.0	1.0
Mockito/Mockito_3	[3, 4, 114, 214, 215]	0.1435679511665356	0.25
Mockito/Mockito_7	[13]	0.07142857142857142	0.07142857142857142
Mockito/Mockito_8	[17, 18]	0.0804093567251462	0.05555555555555555
Mockito/Mockito_10	[5, 8, 9]	0.22962962962962963	0.16666666666666666
Mockito/Mockito_11	[0, 1]	1.0	1.0
Mockito/Mockito_12	[0]	1.0	1.0
Mockito/Mockito_13	[149, 150, 174]	0.01235151897403553	0.006666666666666667
Mockito/Mockito_14	[69, 71, 73, 143, 145]	0.028925677144855222	0.014285714285714285
Mockito/Mockito_15	[103]	0.009615384615384616	0.009615384615384616
Mockito/Mockito_16	[2, 3]	0.41666666666666663	0.3333333333333333
Mockito/Mockito_17	[53, 59, 77]	0.03010446343779677	0.018518518518518517
Mockito/Mockito_18	[0]	1.0	1.0
Mockito/Mockito_19	[51, 52, 53, 54, 55, 56, 83]	0.06616166458342652	0.019230769230769232
Mockito/Mockito_20	[86, 87, 88, 89]	0.02809345880345493	0.011494252873563218
Mockito/Mockito_21	[1, 2, 3, 4, 7]	0.6683333333333333	0.5
Mockito/Mockito_22	[0, 2]	0.8333333333333333	1.0
Mockito/Mockito_23	[9, 14]	0.11666666666666667	0.1
Mockito/Mockito_24	[12]	0.07692307692307693	0.07692307692307693
Mockito/Mockito_25	[32, 33, 34, 35, 36, 41, 42]	0.10381927602955551	0.030303030303030304
Mockito/Mockito_26	[135]	0.007352941176470588	0.007352941176470588
Mockito/Mockito_27	[6, 7, 8]	0.24206349206349206	0.14285714285714285
Mockito/Mockito_28	[34, 35, 36, 291]	0.04472667383626287	0.02857142857142857
Mockito/Mockito_29	[9]	0.1	0.1
Mockito/Mockito_31	[1]	0.5	0.5
Mockito/Mockito_32	[11, 12, 397]	0.0815723918738994	0.08333333333333333
Mockito/Mockito_33	[101, 102]	0.014610698648391394	0.00980392156862745
Mockito/Mockito_34	[73, 281]	0.010302856047536899	0.013513513513513514
Mockito/Mockito_35	[0, 4]	0.7	1.0
Mockito/Mockito_37	[0]	1.0	1.0
MAP	0.3169047096596887
MRR	0.3403049619813345
TOP-n	8	10	11	12	12	13	14	14	14	16	16	17	18	19	19	19	19	20	20	20	
